INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP
FUTSTK,DIVISLAB,24-Jun-2021,0,XX,0,0,0,3482.65,3615.95,0,0,0,0,30-Mar-2021
FUTSTK,DLF,29-Apr-2021,0,XX,283.25,286.50,276.55,281.35,281.35,2984,27760.71,24825900,1049400,30-Mar-2021
FUTSTK,DLF,27-May-2021,0,XX,285.25,287.25,278,282.55,282.55,118,1104.55,379500,79200,30-Mar-2021
FUTSTK,DLF,24-Jun-2021,0,XX,0,0,0,279.60,281.80,0,0,0,0,30-Mar-2021
FUTSTK,DRREDDY,29-Apr-2021,0,XX,4451.35,4548.30,4451.30,4539.45,4539.45,7240,40940.62,3064250,-154125,30-Mar-2021
FUTSTK,DRREDDY,27-May-2021,0,XX,4499.95,4567.95,4490.80,4556.80,4556.80,277,1572.24,37125,750,30-Mar-2021
FUTSTK,DRREDDY,24-Jun-2021,0,XX,4622.20,4622.20,4550,4587.95,4587.95,7,40.13,1000,875,30-Mar-2021
FUTSTK,EICHERMOT,29-Apr-2021,0,XX,2592.35,2669,2574,2655.70,2655.70,2684,24719.04,2270450,59850,30-Mar-2021
FUTSTK,EICHERMOT,27-May-2021,0,XX,2615,2675,2603.45,2658,2655.65,44,406.02,29400,4200,30-Mar-2021
FUTSTK,EICHERMOT,24-Jun-2021,0,XX,2659.50,2659.50,2659.50,2659.50,2663.30,2,18.61,700,700,30-Mar-2021
FUTSTK,ESCORTS,29-Apr-2021,0,XX,1284.05,1297.90,1269,1282,1282,1555,10972.12,1783650,13200,30-Mar-2021
FUTSTK,ESCORTS,27-May-2021,0,XX,1299,1299,1282,1286.30,1281.90,12,84.97,20350,2750,30-Mar-2021
FUTSTK,ESCORTS,24-Jun-2021,0,XX,0,0,0,1278.15,1285.60,0,0,0,0,30-Mar-2021
FUTSTK,EXIDEIND,29-Apr-2021,0,XX,184.05,187.15,183.50,186.80,186.80,975,6528.87,12189600,-529200,30-Mar-2021
FUTSTK,EXIDEIND,27-May-2021,0,XX,185.40,187.95,185.40,187.70,187.70,21,141.01,187200,25200,30-Mar-2021
FUTSTK,EXIDEIND,24-Jun-2021,0,XX,190.40,190.40,184.65,189,187.85,3,20.30,7200,7200,30-Mar-2021
FUTSTK,FEDERALBNK,29-Apr-2021,0,XX,77.35,78.70,76.15,76.50,76.50,2443,18843.48,66690000,1930000,30-Mar-2021
FUTSTK,FEDERALBNK,27-May-2021,0,XX,77.95,78.95,76.75,76.95,76.95,116,902.08,16,380000,30-Mar-2021
FUTSTK,FEDERALBNK,24-Jun-2021,0,XX,77.50,77.50,77,77,77,4,30.85,70000,30000,30-Mar-2021
FUTSTK,GAIL,29-Apr-2021,0,XX,133.30,137.80,132,133.45,133.45,7385,60431.46,35880200,11053200,30-Mar-2021
FUTSTK,GAIL,27-May-2021,0,XX,136,138,133.75,134.30,134.30,44,362.29,451400,109800,30-Mar-2021
FUTSTK,GAIL,24-Jun-2021,0,XX,138.30,138.30,138.30,138.30,133.55,1,8.43,6100,6100,30-Mar-2021
FUTSTK,GLENMARK,29-Apr-2021,0,XX,454.25,466.50,454.20,465.40,465.40,1878,10006.38,5575200,32200,30-Mar-2021
FUTSTK,GLENMARK,27-May-2021,0,XX,464.25,468.45,462,468.45,468.45,13,69.60,72450,2300,30-Mar-2021
FUTSTK,GLENMARK,24-Jun-2021,0,XX,472,472,472,472,466,1,5.42,1150,1150,30-Mar-2021
FUTSTK,GMRINFRA,29-Apr-2021,0,XX,24.65,25.10,24.35,24.50,24.50,871,4820.34,148792500,427500,30-Mar-2021
FUTSTK,GMRINFRA,27-May-2021,0,XX,24.90,25.15,24.50,24.55,24.55,20,111.36,1642500,67500,30-Mar-2021
FUTSTK,GMRINFRA,24-Jun-2021,0,XX,0,0,0,24.15,24.65,0,0,0,0,30-Mar-2021
FUTSTK,GODREJCP,29-Apr-2021,0,XX,718.45,734.35,717,730.50,730.50,2134,15527.71,5136000,-166000,30-Mar-2021
FUTSTK,GODREJCP,27-May-2021,0,XX,722.40,734,720.30,730.80,730.80,28,204.30,44000,3000,30-Mar-2021
FUTSTK,GODREJCP,24-Jun-2021,0,XX,0,0,0,710,732.95,0,0,1000,0,30-Mar-2021
FUTSTK,GODREJPROP,29-Apr-2021,0,XX,1386.60,1389,1340.45,1350.55,1350.55,1412,12429.66,1635400,67600,30-Mar-2021
FUTSTK,GODREJPROP,27-May-2021,0,XX,1369,1369,1349,1356.60,1356.60,28,247.31,32500,9100,30-Mar-2021
FUTSTK,GODREJPROP,24-Jun-2021,0,XX,0,0,0,1344.65,1364.20,0,0,0,0,30-Mar-2021
FUTSTK,GRANULES,29-Apr-2021,0,XX,309.40,313,305.75,311.60,311.60,1280,6147.24,5969050,395250,30-Mar-2021
FUTSTK,GRANULES,27-May-2021,0,XX,308.50,313.40,307.95,313.20,313.20,14,67.46,80600,-3100,30-Mar-2021
FUTSTK,GRANULES,24-Jun-2021,0,XX,310.50,315.70,310.50,315.70,311.85,2,9.70,6200,1550,30-Mar-2021
FUTSTK,GRASIM,29-Apr-2021,0,XX,1418.10,1448,1402.50,1428.60,1428.60,3829,51957.06,14640450,-589950,30-Mar-2021
